,q_vort,q_ener,c_vort,c_ener
0,0.9986118078231812,57.232582092285156,1.0,49.63970184326172
1,0.9984602928161621,57.2326545715332,1.001417636871338,49.639427185058594
2,0.9983095526695251,57.23273468017578,1.0028561353683472,49.63923263549805
3,0.998159646987915,57.23282241821289,1.004315972328186,49.639122009277344
4,0.998010516166687,57.23291778564453,1.0057973861694336,49.63908767700195
5,0.9978621602058411,57.23302459716797,1.007300853729248,49.63914108276367
6,0.9977146983146667,57.23313903808594,1.008826732635498,49.6392707824707
7,0.9975680112838745,57.23326110839844,1.0103753805160522,49.63948440551758
8,0.9974221587181091,57.2333869934082,1.0119471549987793,49.63977813720703
9,0.9972770810127258,57.233524322509766,1.0135425329208374,49.64015579223633
10,0.9971327781677246,57.23366928100586,1.0151619911193848,49.6406135559082
11,0.997057318687439,57.23382568359375,1.01680588722229,49.64115524291992
12,0.9970182180404663,57.233985900878906,1.0184745788574219,49.64177703857422
13,0.9969789981842041,57.234153747558594,1.020168662071228,49.64248275756836
14,0.9969397783279419,57.23433303833008,1.0218884944915771,49.64326858520508
15,0.9969004392623901,57.23451614379883,1.0236345529556274,49.64413833618164
16,0.9968611001968384,57.234710693359375,1.0254074335098267,49.64508819580078
17,0.9968217015266418,57.23491287231445,1.0272074937820435,49.646121978759766
18,0.9967823028564453,57.23512649536133,1.029035210609436,49.647239685058594
19,0.9967427253723145,57.23534393310547,1.0308911800384521,49.6484375
20,0.9967031478881836,57.235572814941406,1.03277587890625,49.64971923828125
21,0.996663510799408,57.235809326171875,1.0346899032592773,49.65108871459961
22,0.9966238141059875,57.236053466796875,1.036633849143982,49.65253829956055
23,0.9965840578079224,57.236305236816406,1.038608193397522,49.65407180786133
24,0.9965442419052124,57.23656463623047,1.0406134128570557,49.65568923950195
25,0.9965043663978577,57.23683547973633,1.0426502227783203,49.65739059448242
26,0.9964644908905029,57.23711395263672,1.0447192192077637,49.659175872802734
27,0.9964244961738586,57.23740005493164,1.0468209981918335,49.661048889160156
28,0.9963845014572144,57.23769760131836,1.048956274986267,49.663002014160156
29,0.9963443875312805,57.237998962402344,1.0511256456375122,49.66504669189453
30,0.9965232014656067,57.238311767578125,1.0533297061920166,49.66716766357422
31,0.9967437982559204,57.23863220214844,1.0555691719055176,49.66938018798828
32,0.9969658255577087,57.23896789550781,1.0578447580337524,49.67167663574219
33,0.9971892833709717,57.23930740356445,1.0601571798324585,49.67406463623047
34,0.9974141716957092,57.239654541015625,1.0625072717666626,49.676536560058594
35,0.9976405501365662,57.24000930786133,1.0648956298828125,49.67909240722656
36,0.9978684186935425,57.24037551879883,1.067323088645935,49.681739807128906
37,0.9980977773666382,57.240753173828125,1.0697904825210571,49.68447494506836
38,0.9983286261558533,57.24113464355469,1.0722986459732056,49.687294006347656
39,0.998560905456543,57.24152755737305,1.0748484134674072,49.69020080566406
40,0.9987947940826416,57.2419319152832,1.0774405002593994,49.69320297241211
41,0.9990301132202148,57.24234390258789,1.080075979232788,49.6962890625
42,0.999267041683197,57.242767333984375,1.0827556848526,49.699466705322266
43,0.9995054006576538,57.24319839477539,1.0854804515838623,49.702735900878906
44,0.9997453689575195,57.2436408996582,1.0882513523101807,49.706092834472656
45,0.9999868869781494,57.24409103393555,1.0910693407058716,49.70954513549805
46,1.000229835510254,57.24454879760742,1.0939353704452515,49.71308898925781
47,1.0004745721817017,57.24502182006836,1.0968506336212158,49.71672058105469
48,1.000720739364624,57.24550247192383,1.099816083908081,49.7204475402832
49,1.0009685754776,57.24599075317383,1.1028327941894531,49.72426223754883
50,1.0012178421020508,57.24649429321289,1.1059019565582275,49.728179931640625
51,1.0014687776565552,57.24700164794922,1.1090246438980103,49.73218536376953
52,1.0017215013504028,57.247528076171875,1.1122021675109863,49.73628616333008
53,1.001975655555725,57.24805450439453,1.1154357194900513,49.740482330322266
54,1.0022315979003906,57.248600006103516,1.1187264919281006,49.74477767944336
55,1.0024889707565308,57.24915313720703,1.1220759153366089,49.749168395996094
56,1.0027480125427246,57.249717712402344,1.1254851818084717,49.75365447998047
57,1.0030088424682617,57.25028991699219,1.1289558410644531,49.75823974609375
58,1.0032713413238525,57.250877380371094,1.1324892044067383,49.7629280090332
59,1.0035353899002075,57.2514762878418,1.1360867023468018,49.76770782470703
60,1.0038011074066162,57.25208282470703,1.1397498846054077,49.77259063720703
61,1.0040684938430786,57.25270462036133,1.1434804201126099,49.77757263183594
62,1.0043376684188843,57.25333786010742,1.1472797393798828,49.78266143798828
63,1.0046085119247437,57.25398254394531,1.1511496305465698,49.787845611572266
64,1.0048811435699463,57.254638671875,1.1550917625427246,49.79314041137695
65,1.0051554441452026,57.255306243896484,1.1591078042984009,49.79853057861328
66,1.0054315328598022,57.255985260009766,1.1631996631622314,49.80403137207031
67,1.0057092905044556,57.256683349609375,1.1673692464828491,49.80963897705078
68,1.0059889554977417,57.25739288330078,1.1716184616088867,49.815345764160156
69,1.0062702894210815,57.258113861083984,1.1759493350982666,49.821163177490234
70,1.006553292274475,57.258846282958984,1.1803638935089111,49.827091217041016
71,1.0068382024765015,57.25959396362305,1.1848642826080322,49.833126068115234
72,1.007124900817871,57.26035690307617,1.1894527673721313,49.839271545410156
73,1.0080962181091309,57.26113510131836,1.1941314935684204,49.84552764892578
74,1.0091286897659302,57.261924743652344,1.19890296459198,49.851898193359375
75,1.0101784467697144,57.262733459472656,1.203769564628601,49.85837936401367
76,1.0112460851669312,57.263553619384766,1.2087337970733643,49.86497497558594
77,1.0123318433761597,57.26439666748047,1.2137984037399292,49.8716926574707
