n,entropy_delay,scaling_amplitude
2.0,1.083505882173848,12.5118924149864
2.2222222222222223,1.0932045104051278,12.030520854477423
2.4444444444444446,1.1029899525532643,12.059804877374495
2.6666666666666665,1.112862985703014,12.348960445721719
2.888888888888889,1.1228243938949392,12.788885036284995
3.111111111111111,1.13287496818767,13.32442405404555
3.333333333333333,1.1430155067207246,13.924636580469503
3.5555555555555554,1.153246814777891,14.570780860962174
3.7777777777777777,1.163569704851176,15.250814526132578
4.0,1.1739849967053284,15.956629194682968
4.222222222222222,1.1844935174429376,16.68255389158217
4.444444444444445,1.1950961015701154,17.424495655073702
4.666666666666666,1.2057935910627664,18.179421313585593
4.888888888888889,1.2165868354334521,18.945031899585683
5.111111111111111,1.2274766917988513,19.71955081582937
5.333333333333333,1.2384640249478265,20.501581795892896
5.555555555555555,1.249549707410099,21.29001113164507
5.777777777777778,1.2607346195255373,22.083938802670207
6.0,1.272019649514069,22.882628964257094
6.222222222222222,1.2834056935462144,23.68547369946774
6.444444444444445,1.2948936558142545,24.49196604579318
6.666666666666666,1.3064844486040348,25.30167962627329
6.888888888888888,1.3181789923674125,26.11425306190233
7.111111111111111,1.3299782157953508,26.929377897680624
7.333333333333333,1.3418830558916692,27.74678914627789
7.555555555555555,1.3538944580474528,28.566257806324373
7.777777777777778,1.366013376116128,29.38758488750759
8.0,1.3782407724892103,30.210596597735734
8.222222222222221,1.39057761817273,31.03514043532474
8.444444444444443,1.4030248928643427,31.861081992455407
8.666666666666666,1.4155835850311282,32.68830232236846
8.88888888888889,1.4282546919880874,33.51669575689816
9.11111111111111,1.441039219977342,34.34616808641115
9.333333333333332,1.453938184248042,35.17663503340178
9.555555555555555,1.466952609136989,36.00802096557873
9.777777777777779,1.4800835281499816,36.84025780545749
10.0,1.4933319840438875,37.67328410211289
10.222222222222221,1.5066990289094522,38.50704423747205
10.444444444444445,1.5201857242548482,39.341487744802414
10.666666666666666,1.5337931410899708,40.17656872121261
10.88888888888889,1.5475223600114902,41.01224531929122
11.11111111111111,1.5613744712886637,41.848479305650905
11.333333333333332,1.5753505749499175,42.685235676270146
11.555555555555555,1.5894517808702013,43.52248232024034
11.777777777777777,1.6036792088591272,44.36018972492091
12.0,1.618033988749895,45.19833071664222
12.222222222222221,1.6036792088591272,46.03688023202982
12.444444444444445,1.5894517808702013,46.8758151157916
12.666666666666666,1.5753505749499177,47.715113941445495
12.888888888888888,1.561374471288664,48.5547568519934
13.11111111111111,1.5475223600114902,49.39472541798737
13.333333333333332,1.5337931410899708,50.235002510802396
13.555555555555555,1.5201857242548482,51.07557218924013
13.777777777777777,1.5066990289094524,51.916419597848396
14.0,1.4933319840438875,52.75753087556225
14.222222222222221,1.4800835281499816,53.598893073459365
14.444444444444443,1.4669526091369893,54.44049408058199
14.666666666666666,1.453938184248042,55.28232255691358
14.888888888888888,1.441039219977342,56.12436787271448
15.11111111111111,1.4282546919880874,56.96662005352115
15.333333333333332,1.4155835850311282,57.80906973019907
15.555555555555555,1.4030248928643427,58.65170809351383
15.777777777777777,1.39057761817273,59.49452685274889
16.0,1.3782407724892103,60.33751819795405
16.22222222222222,1.366013376116128,61.1806747654573
16.444444444444443,1.353894458047453,62.023989606314224
16.666666666666664,1.3418830558916695,62.86745615740627
16.888888888888886,1.329978215795351,63.7110682149312
17.11111111111111,1.3181789923674125,64.55481991005706
17.333333333333332,1.306484448604035,65.39870568653578
17.555555555555557,1.2948936558142543,66.2427202800944
17.77777777777778,1.2834056935462144,67.08685869944061
18.0,1.272019649514069,67.93111620873685
18.22222222222222,1.2607346195255373,68.7754883114116
18.444444444444443,1.249549707410099,69.61997073519014
18.666666666666664,1.2384640249478267,70.46455941823831
18.88888888888889,1.2274766917988513,71.30925049632421
19.11111111111111,1.2165868354334521,72.15404029091084
19.333333333333332,1.2057935910627666,72.99892529810207
19.555555555555554,1.1950961015701154,73.84390217837091
19.77777777777778,1.1844935174429376,74.68896774700639
20.0,1.1739849967053284,75.53411896522077
20.22222222222222,1.163569704851176,76.37935293186432
20.444444444444443,1.153246814777891,77.22466687569958
20.666666666666664,1.1430155067207248,78.07005814819168
20.88888888888889,1.13287496818767,78.91552421677457
21.11111111111111,1.1228243938949392,79.7610626585569
21.333333333333332,1.112862985703014,80.60667115443447
21.555555555555554,1.1029899525532643,81.45234748357882
21.777777777777775,1.093204510405128,82.29808951827391
22.0,1.083505882173848,83.14389521907592
22.22222222222222,1.0738932976687632,83.98976263027228
22.444444444444443,1.064365993532145,84.83568987561898
22.666666666666664,1.0549232131785773,85.68167515433606
22.88888888888889,1.0455642067348747,86.52771673734343
23.11111111111111,1.0362882309805332,87.37381296372006
23.333333333333332,1.0270945492887096,88.21996223737158
23.555555555555554,1.0179824315677228,89.06616302389172
23.777777777777775,1.0089511542030778,89.9124138476048
24.0,1.0,90.75871328877687
