Strain,Min_Beta_Chaos,Peak_Beta_Recovery,Final_Stasis_Beta
0.2,,2.7028240974357094,2.7028240974357125
0.5,,3.0042220338561214,3.004222033856123
0.8,,3.0093505136379815,3.0093505136379695
