,quasi_vort,quasi_energy,cubic_vort,cubic_energy
0,3.5350847244262695,68.78245544433594,4.442883014678955,67.9705810546875
1,3.5350842475891113,68.7824478149414,4.442882537841797,67.9705810546875
2,3.5350840091705322,68.78244018554688,4.442882537841797,67.97057342529297
3,3.535083770751953,68.78244018554688,4.442882537841797,67.97056579589844
4,3.535083293914795,68.78243255615234,4.442882061004639,67.97056579589844
5,3.535083055496216,68.78242492675781,4.4428815841674805,67.9705581665039
6,3.5350828170776367,68.78242492675781,4.4428815841674805,67.97055053710938
7,3.5350823402404785,68.78241729736328,4.4428815841674805,67.97055053710938
8,3.5350821018218994,68.78240966796875,4.442881107330322,67.97054290771484
9,3.5350821018218994,68.78240966796875,4.442880630493164,67.97054290771484
10,3.535081624984741,68.78240203857422,4.442880153656006,67.97053527832031
11,3.535081148147583,68.78239440917969,4.442880153656006,67.97053527832031
12,3.535080909729004,68.78238677978516,4.442880153656006,67.97052764892578
13,3.535080671310425,68.78238677978516,4.442879676818848,67.97052764892578
14,3.5350804328918457,68.78237915039062,4.4428791999816895,67.97052001953125
15,3.5350801944732666,68.7823715209961,4.4428791999816895,67.97051239013672
16,3.5350797176361084,68.7823715209961,4.442878723144531,67.97051239013672
17,3.5350797176361084,68.78236389160156,4.442878723144531,67.97050476074219
18,3.5350794792175293,68.78235626220703,4.442878246307373,67.97050476074219
19,3.535079002380371,68.7823486328125,4.442877769470215,67.97049713134766
20,3.535078525543213,68.78234100341797,4.442877769470215,67.97048950195312
21,3.535078525543213,68.78233337402344,4.442877769470215,67.97048950195312
22,3.5350780487060547,68.78233337402344,4.442877292633057,67.9704818725586
23,3.5350778102874756,68.7823257446289,4.442877292633057,67.97047424316406
24,3.5350775718688965,68.7823257446289,4.442876815795898,67.97047424316406
25,3.535076856613159,68.78231811523438,4.44287633895874,67.97046661376953
26,3.535076856613159,68.78231048583984,4.44287633895874,67.97046661376953
27,3.53507661819458,68.78231048583984,4.442875862121582,67.970458984375
28,3.535076379776001,68.78230285644531,4.442875385284424,67.97045135498047
29,3.535076141357422,68.78229522705078,4.442875385284424,67.97045135498047
30,3.5350756645202637,68.78228759765625,4.442874908447266,67.97044372558594
31,3.5350754261016846,68.78227996826172,4.442874908447266,67.97044372558594
32,3.5350749492645264,68.78227996826172,4.442874908447266,67.9704360961914
33,3.5350747108459473,68.78227233886719,4.442874431610107,67.9704360961914
34,3.535074472427368,68.78226470947266,4.442873954772949,67.97042846679688
35,3.535074234008789,68.78225708007812,4.442873954772949,67.97042083740234
36,3.53507399559021,68.7822494506836,4.442873477935791,67.97041320800781
37,3.535073757171631,68.7822494506836,4.442873001098633,67.97041320800781
38,3.5350735187530518,68.78224182128906,4.442873001098633,67.97041320800781
39,3.5350730419158936,68.78223419189453,4.442872524261475,67.97040557861328
40,3.5350725650787354,68.7822265625,4.442872524261475,67.97039794921875
41,3.5350723266601562,68.7822265625,4.442872524261475,67.97039794921875
42,3.535072088241577,68.78221893310547,4.442872047424316,67.97039031982422
43,3.535071849822998,68.78221893310547,4.442871570587158,67.97038269042969
44,3.535071611404419,68.78221130371094,4.44287109375,67.97038269042969
45,3.53507137298584,68.7822036743164,4.44287109375,67.97037506103516
46,3.5350711345672607,68.7822036743164,4.442870616912842,67.97037506103516
47,3.5350706577301025,68.78219604492188,4.442870616912842,67.97036743164062
48,3.5350706577301025,68.78218841552734,4.442870140075684,67.9703598022461
49,3.5350699424743652,68.78218078613281,4.442870140075684,67.9703598022461
50,3.535069704055786,68.78217315673828,4.442870140075684,67.97035217285156
51,3.535069465637207,68.78217315673828,4.442869663238525,67.97035217285156
52,3.535069227218628,68.78216552734375,4.442869186401367,67.97035217285156
53,3.535069227218628,68.78215789794922,4.442868709564209,67.97034454345703
54,3.5350685119628906,68.78215026855469,4.442868709564209,67.9703369140625
55,3.5350682735443115,68.78215026855469,4.442868709564209,67.9703369140625
56,3.5350680351257324,68.78214263916016,4.442868232727051,67.97032928466797
57,3.5350677967071533,68.78213500976562,4.442867755889893,67.97032165527344
58,3.535067558288574,68.7821273803711,4.442867755889893,67.97032165527344
59,3.535066843032837,68.7821273803711,4.442867755889893,67.9703140258789
60,3.535066843032837,68.78211975097656,4.442867279052734,67.97030639648438
61,3.535066604614258,68.78211975097656,4.442866802215576,67.97030639648438
62,3.5350663661956787,68.78211212158203,4.442866325378418,67.97029876708984
63,3.5350663661956787,68.7821044921875,4.442866325378418,67.97029113769531
64,3.5350656509399414,68.7821044921875,4.442866325378418,67.97029113769531
65,3.5350654125213623,68.78209686279297,4.44286584854126,67.97029113769531
66,3.535065174102783,68.78208923339844,4.442865371704102,67.97028350830078
67,3.535064935684204,68.7820816040039,4.442865371704102,67.97027587890625
68,3.535064458847046,68.78207397460938,4.442865371704102,67.97027587890625
69,3.5350639820098877,68.78207397460938,4.442864894866943,67.97026824951172
70,3.5350639820098877,68.78206634521484,4.442864418029785,67.97026824951172
71,3.5350637435913086,68.78205871582031,4.442864418029785,67.97026062011719
72,3.5350635051727295,68.78205108642578,4.442863941192627,67.97025299072266
73,3.535062789916992,68.78204345703125,4.442863941192627,67.97025299072266
74,3.535062551498413,68.78204345703125,4.442863464355469,67.97024536132812
75,3.535062551498413,68.78203582763672,4.4428629875183105,67.9702377319336
76,3.535062074661255,68.78202819824219,4.4428629875183105,67.9702377319336
77,3.535062074661255,68.78202819824219,4.4428629875183105,67.97023010253906
78,3.5350615978240967,68.78201293945312,4.442862510681152,67.97023010253906
79,3.5350613594055176,68.78201293945312,4.442862033843994,67.97022247314453
