x,y,z
-4.063378657679338479e-01,0.000000000000000000e+00,-5.256626545047357046e-01
4.513716692549698539e-01,6.639406384960533369e-01,-1.613918065603311969e-01
3.498591057156912321e-01,-1.965680168668161032e-01,3.275032758311745007e-01
0.000000000000000000e+00,3.693980598083284050e-01,5.256626544851799032e-01
3.071648562409842742e-01,0.000000000000000000e+00,-1.777077431919744377e-01
-1.765247613851158026e-01,0.000000000000000000e+00,1.021269729458884751e-01
0.000000000000000000e+00,2.792407783788400377e-01,1.777077431779388317e-01
1.285231083384563044e+00,-7.221059026324763153e-01,-1.203105430626414174e+00
-4.063378657891612566e-01,0.000000000000000000e+00,-5.256626544851799032e-01
7.303347022977662029e-01,4.103378810826261991e-01,1.613918065174693717e-01
-1.376631367732604527e+00,4.780239932008602532e-01,4.922263369958858603e-01
0.000000000000000000e+00,7.127617999269955096e-01,-4.535988318891970295e-01
1.138743193906890605e+00,-6.398018166395497142e-01,-2.516432816979510267e-01
0.000000000000000000e+00,9.353288193367800263e-01,5.952396157130199761e-01
-6.574684776677013343e-01,2.283005563463955667e-01,-2.350834857305796610e-01
-7.037819985079406537e-01,1.035221085591529144e+00,2.516432818021536177e-01
-2.079547575078964261e+00,0.000000000000000000e+00,-2.840146656572935524e-01
1.376631366750798779e+00,-4.780239927869006089e-01,4.922263366913122717e-01
-7.303347023880405464e-01,4.103378811646937740e-01,1.613918065174693717e-01
0.000000000000000000e+00,-7.734590683742347261e-01,-1.100651549887846192e+00
0.000000000000000000e+00,-5.146217493760895101e-01,-7.731303594356422892e-02
7.303347023880405464e-01,4.103378811646937740e-01,1.613918065174693717e-01
-3.498591057156912321e-01,-1.965680168668161032e-01,3.275032758311745007e-01
0.000000000000000000e+00,7.734590678956436705e-01,-1.100651549056388623e+00
-3.498591056614558936e-01,1.965680168756576418e-01,3.275032758054237658e-01
7.840379803073446174e-01,0.000000000000000000e+00,4.535988321134685197e-01
2.511306119810351456e-01,5.976986161354262972e-01,2.350834857305796333e-01
4.349611956033857529e-01,0.000000000000000000e+00,-1.065978047551153773e+00
5.258263920655906754e-01,-1.251483060682544224e+00,-4.922263366913122162e-01
-7.303347024359332362e-01,-4.103378811408816551e-01,1.613918065603311969e-01
3.498591057156912321e-01,-1.965680169304268587e-01,3.275032758311745007e-01
-1.138743194291438776e+00,6.398018168254004934e-01,-2.516432818021536177e-01
3.498591056614558936e-01,1.965680168756576418e-01,3.275032758054237658e-01
