# Time,H3_IPR,Cubic_IPR
3.246492985971943579e+00,2.494951613363354526e-01,4.068518801862019280e-02
3.286573146292584902e+00,2.554906876521169656e-01,4.204477607037934023e-02
3.326653306613226224e+00,2.613888905480410418e-01,4.347231275259634542e-02
3.366733466933867547e+00,2.659151107724275209e-01,4.496052010910690788e-02
3.406813627254508869e+00,2.679712135475064705e-01,4.650201432654338385e-02
3.446893787575150192e+00,2.671135097359377264e-01,4.809018553634909765e-02
3.486973947895791515e+00,2.638230002995698986e-01,4.971999808262866916e-02
3.527054108216432837e+00,2.593169324608595727e-01,5.138862048788186976e-02
3.567134268537074160e+00,2.549607453561806292e-01,5.309580744119921786e-02
3.607214428857715482e+00,2.516298588268168213e-01,5.484397765014949883e-02
3.647294589178356361e+00,2.493450788107216265e-01,5.663796084223967492e-02
3.687374749498997684e+00,2.472963854968447117e-01,5.848442066769218850e-02
3.727454909819639006e+00,2.442067343588816275e-01,6.039099612823107394e-02
3.767535070140280329e+00,2.389071506131371092e-01,6.236523632141126317e-02
3.807615230460921651e+00,2.308867273595809066e-01,6.441342784839680646e-02
3.847695390781562974e+00,2.205535116741300650e-01,6.653942799400085206e-02
3.887775551102204297e+00,2.090979209018669072e-01,6.874361468930567654e-02
3.927855711422845619e+00,1.980765890440616128e-01,7.102204897983648013e-02
3.967935871743486942e+00,1.889410929580520593e-01,7.336591635570002823e-02
4.008016032064127820e+00,1.826992404431454220e-01,7.576127581636532549e-02
4.048096192384769587e+00,1.797799549417412601e-01,7.818910544711622779e-02
4.088176352705410466e+00,1.800643604095207018e-01,8.062559831406171384e-02
4.128256513026052232e+00,1.829826399252610369e-01,8.304264073040601435e-02
4.168336673346693111e+00,1.876211288794189247e-01,8.540839988570600450e-02
4.208416833667334878e+00,1.928844447973779019e-01,8.768796262197371683e-02
4.248496993987975756e+00,1.977574817554245690e-01,8.984399619410418647e-02
4.288577154308616635e+00,2.016097174461164154e-01,9.183743780277879576e-02
4.328657314629258401e+00,2.043912042907372328e-01,9.362825276903091742e-02
4.368737474949899280e+00,2.065566571373727844e-01,9.517632120988031574e-02
4.408817635270541047e+00,2.087342647288764064e-01,9.644251496877689900e-02
